sub_category,repo_name,URL,m_label,detect_label
automatic_updates,mindolla24/WebCheckPIC2,https://github.com/mindolla24/WebCheckPIC2,True,True
automatic_updates,xiny47661/tt_login,https://github.com/xiny47661/tt_login,True,True
automatic_updates,galoshy/boots,https://github.com/galoshy/boots,True,True
automatic_updates,arwinzbronder-ux/Arwin,https://github.com/arwinzbronder-ux/Arwin,False,False
automatic_updates,nAnOZgLEAmdAw/token-swap-optimizer,https://github.com/nAnOZgLEAmdAw/token-swap-optimizer,False,False
automatic_updates,KimDort/dorthier_img_repositories,https://github.com/KimDort/dorthier_img_repositories,False,False
automatic_updates,COREpUlSEBITD/cross-dex-arbitrage-bot,https://github.com/COREpUlSEBITD/cross-dex-arbitrage-bot,False,False
automatic_updates,schmwong/APAC-McDelivery-Menu-Logger,https://github.com/schmwong/APAC-McDelivery-Menu-Logger,False,False
automatic_updates,Yo0l0/ssss,https://github.com/Yo0l0/ssss,True,True
automatic_updates,unknitin07/phone-api,https://github.com/unknitin07/phone-api,False,False
automatic_updates,FluxinFohqprO/advanced-trading-platform,https://github.com/FluxinFohqprO/advanced-trading-platform,True,False
automatic_updates,NAnOFLAREDawn/otimizador-swap-tokens,https://github.com/NAnOFLAREDawn/otimizador-swap-tokens,False,False
automatic_updates,samjayhub/samony_podcast_feed,https://github.com/samjayhub/samony_podcast_feed,False,False
automatic_updates,MEITE18/Kobo,https://github.com/MEITE18/Kobo,False,False
automatic_updates,adamhathcock/sharpcompress,https://github.com/adamhathcock/sharpcompress,False,False
automatic_updates,plan4better/goat,https://github.com/plan4better/goat,False,False
automatic_updates,ParabolInc/parabol,https://github.com/ParabolInc/parabol,False,False
automatic_updates,devcode-it/openstamanager,https://github.com/devcode-it/openstamanager,False,False
automatic_updates,eyeonus/Trade-Dangerous,https://github.com/eyeonus/Trade-Dangerous,False,False
automatic_updates,Olshansk/rss-feeds,https://github.com/Olshansk/rss-feeds,False,False
automatic_updates,open-cogsci/OpenSesame,https://github.com/open-cogsci/OpenSesame,False,False
automatic_updates,didthetreefall/Table-of-Content-Resources,https://github.com/didthetreefall/Table-of-Content-Resources,True,True
automatic_updates,hobakpi/Pi-Monitor,https://github.com/hobakpi/Pi-Monitor,True,True
automatic_updates,RaydenLabs/genisys-data,https://github.com/RaydenLabs/genisys-data,False,False
automatic_updates,RLicasESS/ESSProdStatus,https://github.com/RLicasESS/ESSProdStatus,False,False
automatic_updates,chaililyya/auto-commit-chaililyya-60s,https://github.com/chaililyya/auto-commit-chaililyya-60s,True,True
