sub_category,repo/account_name,URL,m_label
automatic_updates,Vortalitys/pic-hide-barcode,https://github.com/Vortalitys/pic-hide-barcode,True
automatic_updates,ultrAzVortex9/buscador_lucro,https://github.com/ultrAzVortex9/buscador_lucro,True
automatic_updates,szinn/k8s-homelab,https://github.com/szinn/k8s-homelab,True
automatic_updates,Phantomkoala121499/flashloan-order-analyzer,https://github.com/Phantomkoala121499/flashloan-order-analyzer,True
automatic_updates,mellowro771298/strategy-visual-builder,https://github.com/mellowro771298/strategy-visual-builder,True
automatic_updates,r00tsh00t12345/email-probe,https://github.com/r00tsh00t12345/email-probe,True
automatic_updates,ujijhyg/dash-output1,https://github.com/ujijhyg/dash-output1,False
automatic_updates,thorvg/thorvg,https://github.com/thorvg/thorvg,False
automatic_updates,AgibotTech/genie_sim,https://github.com/AgibotTech/genie_sim,False
automatic_updates,wireapp/wire-ios,https://github.com/wireapp/wire-ios,False
automatic_updates,neomjs/neo,https://github.com/neomjs/neo,False
automatic_updates,vercel-labs/dev3000,https://github.com/vercel-labs/dev3000,False
fake_stars,XIANGLONGYAN/ARB-LLM,https://github.com/XIANGLONGYAN/ARB-LLM,True
fake_stars,affaan-m/everything-claude-code,https://github.com/affaan-m/everything-claude-code,True
fake_stars,msitarzewski/agency-agents,https://github.com/msitarzewski/agency-agents,True
fake_stars,ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,True
fake_stars,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,True
fake_stars,forrestchang/andrej-karpathy-skills,https://github.com/forrestchang/andrej-karpathy-skills,True
fake_stars,garrytan/gstack,https://github.com/garrytan/gstack,True
fake_stars,mattpocock/skills,https://github.com/mattpocock/skills,True
fake_stars,VoltAgent/awesome-design-md,https://github.com/VoltAgent/awesome-design-md,True
fake_stars,instructkr/claw-code,https://github.com/instructkr/claw-code,True
fake_stars,sindresorhus/awesome,https://github.com/sindresorhus/awesome,True
fake_stars,firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,True
fake_stars,canopy-network/canopy,https://github.com/canopy-network/canopy,True
fake_stars,farion1231/cc-switch,https://github.com/farion1231/cc-switch,True
fake_stars,codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,True
fake_stars,unicitynetwork/whitepaper,https://github.com/unicitynetwork/whitepaper,True
fake_stars,santifer/career-ops,https://github.com/santifer/career-ops,True
fake_stars,ruvnet/RuView,https://github.com/ruvnet/RuView,True
fake_stars,TauricResearch/TradingAgents,https://github.com/TauricResearch/TradingAgents,True
fake_stars,anomalyco/opencode,https://github.com/anomalyco/opencode,True
fake_stars,ZhuLinsen/daily_stock_analysis,https://github.com/ZhuLinsen/daily_stock_analysis,True
fake_stars,datawhalechina/hello-agents,https://github.com/datawhalechina/hello-agents,True
fake_stars,Lordog/dive-into-llms,https://github.com/Lordog/dive-into-llms,True
fake_stars,milla-jovovich/mempalace,https://github.com/milla-jovovich/mempalace,True
fake_stars,clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,True
fake_stars,crowmd/2K-N8NWORKFLOWS,https://github.com/crowmd/2K-N8NWORKFLOWS,False
fake_stars,activist-org/activist,https://github.com/activist-org/activist,False
fake_stars,JuliaGomesRoel/Sora-Watermark-Remover,https://github.com/JuliaGomesRoel/Sora-Watermark-Remover,False
fake_stars,ammiehax/sora2-watermark-remover,https://github.com/ammiehax/sora2-watermark-remover,False
fake_stars,mostly-ai/mostlyai,https://github.com/mostly-ai/mostlyai,False
fake_stars,bruin-data/ingestr,https://github.com/bruin-data/ingestr,False
fake_stars,xingpingcn/enhanced-FaaS-in-China,https://github.com/xingpingcn/enhanced-FaaS-in-China,False
fake_stars,gbtami/pychess-variants,https://github.com/gbtami/pychess-variants,False
fake_stars,Epodonios/v2ray-configs,https://github.com/Epodonios/v2ray-configs,False
fake_stars,fawney19/Aether,https://github.com/fawney19/Aether,False
fake_stars,isaac-sim/IsaacLab-Arena,https://github.com/isaac-sim/IsaacLab-Arena,False
fake_stars,OasisLMF/OasisLMF,https://github.com/OasisLMF/OasisLMF,False
fake_stars,PaddlePaddle/FastDeploy,https://github.com/PaddlePaddle/FastDeploy,False
fake_stars,Kinto/kinto,https://github.com/Kinto/kinto,False
fake_stars,Alexey-T/CudaText,https://github.com/Alexey-T/CudaText,False
fake_stars,mozilla/addons-server,https://github.com/mozilla/addons-server,False
fake_stars,TomoeMami/S1PlainTextBackup,https://github.com/TomoeMami/S1PlainTextBackup,False
fake_stars,vyos/vyos-build,https://github.com/vyos/vyos-build,False
fake_stars,DataGerry/DataGerry,https://github.com/DataGerry/DataGerry,False
fake_stars,kismetpro/NodeSuber,https://github.com/kismetpro/NodeSuber,False
fake_stars,packit/packit,https://github.com/packit/packit,False
fake_stars,OpenCTI-Platform/connectors,https://github.com/OpenCTI-Platform/connectors,False
issue_spam,AgibotTech/genie_sim,https://github.com/AgibotTech/genie_sim,True
issue_spam,neomjs/neo,https://github.com/neomjs/neo,True
issue_spam,Love4vn/love4vn,https://github.com/Love4vn/love4vn,True
issue_spam,HMCL-dev/HMCL-PE-CN,https://github.com/HMCL-dev/HMCL-PE-CN,True
issue_spam,SeattleAttic/HedyNet,https://github.com/SeattleAttic/HedyNet,True
issue_spam,soimort/translate-shell,https://github.com/soimort/translate-shell,True
issue_spam,tcking/GiraffePlayer,https://github.com/tcking/GiraffePlayer,True
issue_spam,TheOfficialFloW/h-encore,https://github.com/TheOfficialFloW/h-encore,True
